Id_cost,city,category,item,avg_price_egp,min_price_egp,max_price_egp
64,New Cairo,Markets,"Eggs (12, Large Size)",72,54,96
65,New Cairo,Markets,Local Cheese (1 kg),214.65,100,350
66,New Cairo,Markets,Chicken Fillets (1 kg),212,150,250
67,New Cairo,Markets,Beef Round or Equivalent Back Leg Red Meat (1 kg),460,400,510
68,New Cairo,Markets,Apples (1 kg),85,50,130
69,New Cairo,Markets,Bananas (1 kg),40.69,30,57
70,New Cairo,Markets,Oranges (1 kg),31.83,20,50
71,New Cairo,Markets,Tomatoes (1 kg),19.24,10,30
72,New Cairo,Markets,Potatoes (1 kg),18.54,10,30
73,New Cairo,Markets,Onions (1 kg),21.4,15,25
74,New Cairo,Markets,Lettuce (1 Head),22.5,10,25
75,New Cairo,Markets,Bottled Water (1.5 Liter),10.71,10,12
76,New Cairo,Markets,Bottle of Wine (Mid-Range),350,300,600
77,New Cairo,Markets,Domestic Beer (0.5 Liter Bottle),50,40,120
78,New Cairo,Markets,Imported Beer (0.33 Liter Bottle),109.41,60,160
79,New Cairo,Markets,"Cigarettes (Pack of 20, Marlboro)",100,95,120
80,New Cairo,Transportation,One-Way Ticket (Local Transport),20,20,25
81,New Cairo,Transportation,Monthly Public Transport Pass (Regular Price),500,,
82,New Cairo,Transportation,Taxi Start (Standard Tariff),17.5,10,20
83,New Cairo,Transportation,Taxi 1 km (Standard Tariff),11,8,25
84,New Cairo,Transportation,Taxi 1 Hour Waiting (Standard Tariff),50,30,100
85,New Cairo,Transportation,Gasoline (1 Liter),20.17,17,24
86,New Cairo,Transportation,Volkswagen Golf 1.5 (or Equivalent New Compact Car),1690000,1500000,1950000
87,New Cairo,Transportation,Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),1216666.67,1150000,1600000
88,New Cairo,Utilities (Monthly),"Basic Utilities for 85 m2 Apartment (Electricity, Heating, Cooling, Water, Garbage)",1282.5,650,2000
89,New Cairo,Utilities (Monthly),"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",358.28,100,1000
90,New Cairo,Utilities (Monthly),"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",563.08,350,1200
91,New Cairo,Sports And Leisure,Monthly Fitness Club Membership,850,700,1000
92,New Cairo,Sports And Leisure,"Tennis Court Rental (1 Hour, Weekend)",300,200,400
93,New Cairo,Sports And Leisure,Cinema Ticket (International Release),150,120,300
94,New Cairo,Childcare,"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",1500,1500,8000
95,New Cairo,Childcare,"International Primary School, Annual Tuition per Child",40000,40000,485251.16
96,New Cairo,Clothing And Shoes,Jeans (Levi's 501 or Similar),1233.33,650,2500
97,New Cairo,Clothing And Shoes,Summer Dress in a Chain Store (e.g. Zara or H&M),2277.27,1000,3000
98,New Cairo,Clothing And Shoes,Nike Running Shoes (Mid-Range),5375,3000,10000
99,New Cairo,Clothing And Shoes,Men's Leather Business Shoes,3166.67,1000,6000
100,New Cairo,Rent Per Month,1 Bedroom Apartment in City Centre,12666.67,3000,20000
101,New Cairo,Rent Per Month,1 Bedroom Apartment Outside of City Centre,8750,2500,15000
102,New Cairo,Rent Per Month,3 Bedroom Apartment in City Centre,17000,4000,30000
103,New Cairo,Rent Per Month,3 Bedroom Apartment Outside of City Centre,16600,2800,25000
104,New Cairo,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,40000,,
