Property_id,category,governorate,city,location_full,location_name,property_type,Title,Business_Type,price_egp,price_period,price_per_sqm,size_sqm,latitude,longitude
69829269,Shop,Cairo,New Cairo,"Central New Cairo, North Teseen St., The 5th Settlement, New Cairo City, Cairo",Central New Cairo,Shop,Beauty Salon 450m Finished - For Rent - North 90th,Beauty Salon,675000,monthly,1500,450,30.02715492,31.47325516
69829108,Shop,Cairo,New Cairo,"One Ninety Mall, South Teseen St., The 5th Settlement, New Cairo City, Cairo",One Ninety Mall,Shop,Beauty Salon 400m≤ - For Rent - South 90th Street,Beauty Salon,600000,monthly,1500,400,30.0146637,31.40620613
69828759,Shop,Cairo,New Cairo,"Central New Cairo, North Teseen St., The 5th Settlement, New Cairo City, Cairo",Central New Cairo,Shop,Barbershop 350m Finished - For Rent - North 90th,Barbershop,525000,monthly,1500,350,30.02715492,31.47325516
69828529,Shop,Cairo,New Cairo,"One Ninety Mall, South Teseen St., The 5th Settlement, New Cairo City, Cairo",One Ninety Mall,Shop,Barbershop 300m≤ - For Rent - South 90th Street,Barbershop,450000,monthly,1500,300,30.0146637,31.40620613
72175974,Shop,Cairo,New Cairo,"North Teseen St., The 5th Settlement, New Cairo City, Cairo",North Teseen St.,Shop,Fully finished commercial space for rent New Cairo,General Commercial Shop,300000,monthly,1456.31,206,30.07310104,31.53912735
69824480,Shop,Cairo,Cairo,"East Park, Nasr City Compounds, Nasr City, Cairo",East Park,Shop,„Õ· ··«ÌÃ«— „”«Õá 57 „ ›Ì Éà„®àÜØ «Ì”  ®«—É,General Commercial Shop,22000,monthly,385.96,57,30.03736115,31.36288834
69579062,Shop,Giza,Sheikh Zayed,"Walk of Cairo, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Walk of Cairo,Shop,For Brand Owners shop for rent in Walk of Cairo,General Commercial Shop,117000,monthly,1193.88,98,30.07733917,30.95166206
69574883,Shop,Cairo,New Cairo,"Sway Mall, Mohamed Naguib Axis, North Investors Area, New Cairo City, Cairo",Sway Mall,Shop,Shop for rent - 68 m - prime location - unfinished,General Commercial Shop,129200,monthly,1900,68,30.01777267,31.47322655
69573520,Shop,Cairo,New Cairo,"Central New Cairo, North Teseen St., The 5th Settlement, New Cairo City, Cairo",Central New Cairo,Shop,Shop 300m≤ - For Rent - North 90th Street,General Commercial Shop,450000,monthly,1500,300,30.02715492,31.47325516
69573327,Shop,Cairo,New Cairo,"El Narges Buildings, Al Narges, New Cairo City, Cairo",El Narges Buildings,Shop,Shop for rent - ground floor - Fifth Settlement,General Commercial Shop,90000,monthly,1285.71,70,30.00187111,31.45464706
69573272,Shop,Cairo,Cairo,"Valore El-Thawra, Almazah, Heliopolis - Masr El Gedida, Cairo",Valore El-Thawra,Shop,Commercial Unit for Rent Valore Almaza - Suez Road,General Commercial Shop,222000,monthly,1500,148,30.08121872,31.35628891
69573261,Shop,Cairo,Cairo,"Valore El-Thawra, Almazah, Heliopolis - Masr El Gedida, Cairo",Valore El-Thawra,Shop,Commercial Unit for Rent Valore Almaza - Suez Road,General Commercial Shop,214500,monthly,1500,143,30.08121872,31.35628891
69573183,Shop,Cairo,New Cairo,"One Ninety Mall, South Teseen St., The 5th Settlement, New Cairo City, Cairo",One Ninety Mall,Shop,Shop 200m≤ - For Rent - South 90th Street,General Commercial Shop,300000,monthly,1500,200,30.0146637,31.40620613
69570488,Shop,Cairo,New Cairo,"Granoy, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Granoy,Shop,Prime Location Shop for Rent with Storage Room,General Commercial Shop,90000,monthly,1500,60,30.02072525,31.43012428
69569760,Shop,Cairo,New Cairo,"Central New Cairo, North Teseen St., The 5th Settlement, New Cairo City, Cairo",Central New Cairo,Shop,Gym 200m - For Rent - North 90th Street,Gym,200000,monthly,1000,200,30.02715492,31.47325516
69568784,Shop,Cairo,New Cairo,"One Ninety Mall, South Teseen St., The 5th Settlement, New Cairo City, Cairo",One Ninety Mall,Shop,Gym 300m - For Rent - South 90th Street,Gym,300000,monthly,1000,300,30.0146637,31.40620613
69567010,Shop,Cairo,New Cairo,"El Rehab Extension, Al Rehab, New Cairo City, Cairo",El Rehab Extension,Shop,Shop 600m≤ - For Rent -Front Al Rehab,General Commercial Shop,750000,monthly,1250,600,30.06147003,31.5113945
69566648,Shop,Cairo,New Cairo,"Mostafa Kamel Axis, The 1st Settlement, New Cairo City, Cairo",Mostafa Kamel Axis,Shop,Shop 80m≤ - For Rent - Mustafa Kamel Axis,General Commercial Shop,128000,monthly,1600,80,30.0522747,31.44463348
69565492,Shop,Cairo,New Cairo,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Mivida,Shop,Shop 203m≤ - For Rent - Mivida Compound,General Commercial Shop,507500,monthly,2500,203,30.00575066,31.53399849
69565126,Shop,Cairo,New Cairo,"Central New Cairo, North Teseen St., The 5th Settlement, New Cairo City, Cairo",Central New Cairo,Shop,Shop 200m Finished - For Rent - North 90th Street,General Commercial Shop,250000,monthly,1250,200,30.02715492,31.47325516
69562207,Shop,Cairo,New Cairo,"One Ninety Mall, South Teseen St., The 5th Settlement, New Cairo City, Cairo",One Ninety Mall,Shop,Shop 50sqm Finished - For Rent - South 90th Street,General Commercial Shop,110000,monthly,2200,50,30.0146637,31.40620613
69560698,Shop,Cairo,Cairo,"Al Hegaz St., El Mahkama Square, Heliopolis - Masr El Gedida, Cairo",Al Hegaz St.,Shop,Commercial shop for rent in Heliopolis,General Commercial Shop,250000,monthly,757.58,330,30.10352516,31.32804871
